Home,Products,Search,Prod_A,Prod_B,Prod_C,Cart,Purchase,Cluster
1,0,0,0,0,0,0,0,3
1,1,1,0,0,0,1,0,2
1,0,0,0,0,0,0,0,3
1,1,1,1,0,0,1,1,0
1,0,1,1,1,0,1,1,0
1,1,1,0,1,0,0,0,2
1,0,1,0,0,0,1,1,0
1,0,1,0,1,0,0,0,2
1,1,1,0,1,0,1,0,2
1,0,1,1,1,1,1,1,0
1,0,1,1,1,1,1,0,0
1,0,1,1,0,1,0,0,3
1,0,1,1,0,0,1,1,0
1,1,1,0,0,1,1,0,2
1,0,1,1,1,1,0,0,3
1,1,1,1,1,0,1,1,1
1,0,1,0,0,0,1,1,0
1,0,1,0,0,0,1,0,2
1,1,0,1,1,0,0,0,3
1,0,0,1,0,0,0,0,3
1,1,1,0,0,1,1,1,0
1,0,1,0,0,1,1,1,0
1,1,0,0,0,0,1,0,1
1,1,0,1,0,0,0,0,3
1,1,0,1,1,1,1,0,1
1,1,1,0,1,1,0,0,2
1,1,0,1,1,1,1,0,1
1,1,0,1,1,0,1,0,1
1,1,1,1,1,1,0,0,3
1,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,0,0
1,1,0,1,0,1,0,0,3
1,1,0,0,1,0,1,1,1
1,1,1,0,1,1,0,0,2
1,1,0,1,0,1,1,0,0
1,1,1,1,1,1,0,0,3
1,1,0,1,1,0,1,1,1
0,1,1,0,1,0,1,0,2
0,1,1,0,1,0,1,0,2
0,1,0,0,1,0,0,0,6
0,1,0,0,1,0,0,0,6
0,1,0,0,1,1,0,0,6
0,1,0,0,1,0,1,1,4
0,1,0,0,1,0,0,0,6
0,1,1,0,1,1,0,0,6
0,1,1,0,1,0,1,0,2
0,1,1,0,1,1,1,1,4
0,0,1,1,0,0,1,1,0
1,0,1,1,0,0,0,0,3
1,0,1,1,0,1,1,0,0
0,1,1,1,0,1,1,1,0
0,1,1,1,0,1,1,0,0
1,1,0,1,0,1,1,1,0
1,1,0,1,0,0,0,0,3
0,1,0,1,1,0,0,0,3
0,0,0,1,1,0,1,1,1
0,0,0,1,1,0,0,0,3
1,0,1,0,0,0,0,0,2
1,1,0,1,0,0,1,1,1
1,1,0,1,1,0,1,1,1
1,1,1,1,0,0,1,0,0
1,1,0,1,0,0,0,0,3
1,1,0,1,1,0,1,1,1
1,1,1,1,0,1,1,1,0
1,1,0,1,0,0,1,0,1
1,0,1,0,0,0,0,0,2
1,1,0,1,0,0,0,0,3
1,1,0,1,0,0,1,1,1
1,1,1,0,0,1,0,0,2
1,1,0,1,0,0,1,1,1
1,1,1,1,0,1,1,1,0
1,1,0,1,1,0,1,1,1
0,0,0,1,0,0,1,1,0
1,0,0,1,0,0,0,0,3
1,0,0,1,0,1,1,1,0
0,1,0,1,0,0,1,1,1
0,0,0,1,0,0,1,0,0
1,1,1,1,0,1,1,1,0
1,1,0,1,0,0,1,1,1
0,0,0,1,1,0,0,0,3
0,0,0,1,0,0,1,1,0
0,0,0,1,1,0,1,1,1
0,1,1,0,1,0,0,0,2
0,1,0,0,1,1,1,1,4
0,1,0,0,1,1,0,0,6
0,1,0,0,1,1,0,0,6
0,1,0,0,1,1,0,0,6
0,1,0,0,1,1,1,1,4
0,1,0,0,1,1,0,0,6
0,1,1,0,1,1,0,0,6
0,1,0,0,1,1,1,1,4
0,1,0,0,1,1,1,1,4
0,1,1,0,1,0,0,0,2
0,1,0,0,1,1,1,1,4
0,1,0,0,1,1,1,0,5
0,1,0,0,1,1,0,0,6
0,1,0,0,1,1,1,1,4
0,1,0,0,1,1,1,1,4
0,1,0,0,1,1,0,0,6
0,1,1,0,1,1,1,0,5
